iter	Passed	Remaining
0	122	61374
1	149	37111
2	174	28941
3	198	24555
4	224	22203
5	250	20645
6	273	19272
7	296	18230
8	323	17633
9	350	17180
10	377	16764
11	403	16428
12	430	16131
13	455	15801
14	481	15556
15	508	15372
16	534	15173
17	558	14962
18	585	14834
19	613	14727
20	640	14601
21	665	14463
22	692	14352
23	719	14276
24	745	14165
25	769	14031
26	793	13894
27	817	13788
28	843	13707
29	870	13642
30	898	13593
31	925	13530
32	953	13494
33	977	13398
34	1006	13372
35	1035	13351
36	1067	13352
37	1098	13358
38	1129	13345
39	1156	13298
40	1185	13267
41	1209	13187
42	1235	13126
43	1260	13061
44	1283	12982
45	1309	12921
46	1332	12839
47	1357	12786
48	1393	12826
49	1424	12818
50	1449	12760
51	1473	12691
52	1496	12621
53	1519	12553
54	1542	12478
55	1567	12427
56	1591	12366
57	1614	12304
58	1638	12244
59	1661	12185
60	1686	12138
61	1709	12073
62	1733	12023
63	1754	11955
64	1779	11906
65	1801	11848
66	1825	11795
67	1847	11735
68	1870	11683
69	1893	11631
70	1916	11578
71	1940	11537
72	1963	11485
73	1986	11438
74	2008	11381
75	2031	11331
76	2055	11293
77	2077	11241
78	2101	11197
79	2125	11158
80	2148	11113
81	2171	11069
82	2193	11021
83	2215	10970
84	2238	10929
85	2261	10887
86	2285	10851
87	2309	10813
88	2333	10777
89	2357	10738
90	2380	10698
91	2403	10656
92	2427	10625
93	2451	10587
94	2475	10551
95	2500	10521
96	2523	10483
97	2545	10443
98	2568	10403
99	2592	10369
100	2615	10332
101	2637	10289
102	2660	10255
103	2685	10224
104	2708	10190
105	2733	10159
106	2757	10127
107	2778	10085
108	2804	10059
109	2827	10025
110	2849	9984
111	2872	9950
112	2895	9916
113	2920	9888
114	2943	9855
115	2968	9826
116	2991	9793
117	3018	9770
118	3040	9733
119	3063	9702
120	3085	9664
121	3108	9631
122	3132	9600
123	3155	9569
124	3178	9536
125	3201	9502
126	3224	9470
127	3246	9435
128	3270	9404
129	3293	9372
130	3316	9341
131	3340	9312
132	3362	9278
133	3385	9247
134	3407	9213
135	3432	9186
136	3455	9156
137	3478	9125
138	3501	9093
139	3523	9061
140	3548	9034
141	3571	9003
142	3594	8973
143	3617	8942
144	3641	8914
145	3665	8887
146	3689	8860
147	3711	8828
148	3734	8797
149	3758	8769
150	3782	8742
151	3806	8714
152	3832	8690
153	3857	8666
154	3880	8637
155	3905	8612
156	3931	8588
157	3955	8561
158	3977	8531
159	4002	8506
160	4027	8479
161	4051	8453
162	4074	8424
163	4098	8396
164	4121	8367
165	4146	8342
166	4169	8314
167	4191	8283
168	4216	8257
169	4238	8228
170	4261	8199
171	4283	8168
172	4305	8138
173	4329	8111
174	4354	8086
175	4375	8055
176	4399	8027
177	4422	7999
178	4443	7968
179	4466	7939
180	4490	7914
181	4513	7886
182	4537	7860
183	4561	7834
184	4583	7804
185	4606	7776
186	4628	7747
187	4650	7718
188	4672	7689
189	4697	7665
190	4720	7636
191	4744	7611
192	4767	7583
193	4790	7555
194	4812	7527
195	4837	7502
196	4860	7476
197	4883	7448
198	4906	7421
199	4930	7396
200	4953	7368
201	4976	7341
202	4997	7311
203	5020	7284
204	5043	7257
205	5064	7228
206	5088	7202
207	5111	7175
208	5133	7148
209	5158	7123
210	5181	7097
